0.00,1.66,3.33,5.01,6.70,8.42,10.17,11.95,13.75,15.58,17.43,19.28,21.10,22.85,24.47,25.90,27.08,27.98,28.63,29.03,29.20,29.15,28.88,28.39,27.69,26.81,25.79,24.69,23.57,22.47,21.39,20.36,19.39,18.48,17.63,16.83,16.09,15.41,14.77,14.19,13.65,13.15,12.68,12.26,11.86,11.50,11.16,10.84,10.55,10.28,10.03,9.79,9.57,9.36,9.16,8.97,8.79,8.62,8.45,8.28,8.12,7.97,7.81,7.66,7.51,7.35,7.20,7.04,6.88,6.72,6.55,6.39,6.22,6.04,5.86,5.67,5.49,5.29,5.09,4.89,4.68,4.47,4.25,4.03,3.80,3.57,3.33,3.09,2.85,2.60,2.35,2.10,1.84,1.58,1.32,1.06,0.80,0.53,0.27,0.00,
0.00,1.81,3.63,5.46,7.32,9.21,11.14,13.10,15.12,17.18,19.28,21.41,23.54,25.62,27.57,29.28,30.64,31.65,32.34,32.75,32.91,32.83,32.51,31.93,31.07,29.96,28.68,27.34,26.00,24.69,23.45,22.28,21.19,20.17,19.22,18.35,17.54,16.79,16.11,15.47,14.89,14.35,13.85,13.39,12.96,12.57,12.21,11.87,11.56,11.27,11.00,10.75,10.51,10.28,10.07,9.87,9.67,9.49,9.31,9.13,8.96,8.79,8.62,8.46,8.29,8.12,7.95,7.78,7.61,7.43,7.25,7.07,6.88,6.69,6.49,6.28,6.08,5.86,5.64,5.42,5.19,4.95,4.71,4.46,4.21,3.95,3.69,3.43,3.16,2.88,2.61,2.32,2.04,1.75,1.47,1.17,0.88,0.59,0.29,0.00,
0.00,1.95,3.91,5.90,7.91,9.96,12.06,14.21,16.44,18.73,21.10,23.54,26.03,28.53,30.91,33.00,34.56,35.64,36.34,36.73,36.87,36.77,36.41,35.74,34.70,33.27,31.65,29.99,28.38,26.86,25.44,24.13,22.91,21.79,20.76,19.81,18.93,18.13,17.39,16.71,16.09,15.51,14.98,14.50,14.05,13.63,13.25,12.89,12.56,12.25,11.97,11.70,11.45,11.21,10.98,10.77,10.56,10.36,10.17,9.99,9.80,9.62,9.44,9.26,9.08,8.90,8.72,8.54,8.35,8.16,7.96,7.76,7.56,7.35,7.13,6.91,6.68,6.45,6.21,5.96,5.71,5.45,5.18,4.91,4.63,4.35,4.07,3.77,3.48,3.17,2.87,2.56,2.25,1.93,1.61,1.29,0.97,0.65,0.32,0.00,
0.00,2.08,4.18,6.30,8.46,10.66,12.92,15.26,17.68,20.21,22.85,25.62,28.53,31.54,34.55,37.24,38.97,40.02,40.63,40.96,41.06,40.96,40.61,39.92,38.71,36.78,34.65,32.60,30.69,28.94,27.34,25.88,24.55,23.33,22.22,21.20,20.26,19.41,18.63,17.91,17.25,16.64,16.09,15.57,15.10,14.67,14.26,13.89,13.55,13.23,12.93,12.64,12.38,12.13,11.90,11.67,11.45,11.25,11.04,10.85,10.65,10.46,10.27,10.08,9.89,9.70,9.50,9.30,9.10,8.90,8.69,8.47,8.25,8.02,7.79,7.54,7.30,7.04,6.78,6.51,6.24,5.95,5.67,5.37,5.07,4.76,4.45,4.13,3.80,3.47,3.14,2.80,2.46,2.11,1.77,1.42,1.06,0.71,0.36,0.00,
0.00,2.21,4.42,6.67,8.96,11.30,13.71,16.22,18.83,21.57,24.47,27.57,30.91,34.55,38.50,42.45,44.06,44.82,45.22,45.41,45.47,45.40,45.16,44.64,43.45,40.47,37.60,35.06,32.83,30.86,29.09,27.51,26.07,24.77,23.59,22.51,21.52,20.63,19.80,19.05,18.36,17.73,17.15,16.62,16.13,15.68,15.26,14.88,14.52,14.19,13.88,13.59,13.31,13.05,12.81,12.57,12.35,12.13,11.92,11.71,11.51,11.31,11.11,10.91,10.71,10.50,10.30,10.08,9.87,9.65,9.42,9.19,8.95,8.71,8.46,8.20,7.93,7.65,7.37,7.08,6.78,6.48,6.16,5.84,5.51,5.18,4.84,4.49,4.14,3.78,3.42,3.05,2.68,2.30,1.92,1.54,1.16,0.77,0.39,0.00,
0.00,2.31,4.64,7.00,9.40,11.87,14.42,17.07,19.84,22.77,25.90,29.28,33.00,37.24,42.45,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,44.06,40.20,37.22,34.73,32.58,30.68,28.99,27.47,26.10,24.86,23.73,22.71,21.77,20.92,20.14,19.43,18.78,18.18,17.64,17.13,16.67,16.24,15.85,15.48,15.14,14.82,14.52,14.24,13.97,13.72,13.48,13.25,13.02,12.81,12.59,12.38,12.17,11.96,11.75,11.54,11.32,11.10,10.88,10.65,10.42,10.18,9.93,9.68,9.41,9.14,8.86,8.58,8.28,7.98,7.66,7.34,7.01,6.67,6.33,5.97,5.61,5.24,4.86,4.48,4.09,3.70,3.30,2.90,2.49,2.08,1.67,1.25,0.84,0.42,0.00,
0.00,2.41,4.83,7.28,9.78,12.36,15.02,17.79,20.70,23.78,27.08,30.64,34.56,38.97,44.06,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,45.58,41.92,38.88,36.29,34.05,32.07,30.30,28.73,27.31,26.02,24.86,23.81,22.85,21.98,21.18,20.45,19.79,19.18,18.62,18.11,17.64,17.20,16.80,16.43,16.08,15.75,15.45,15.17,14.90,14.64,14.39,14.15,13.92,13.70,13.48,13.26,13.04,12.82,12.60,12.38,12.16,11.93,11.69,11.45,11.20,10.95,10.69,10.42,10.14,9.85,9.55,9.24,8.92,8.60,8.26,7.92,7.56,7.20,6.82,6.44,6.05,5.66,5.25,4.84,4.42,3.99,3.56,3.13,2.69,2.25,1.80,1.35,0.90,0.45,0.00,
0.00,2.48,4.98,7.51,10.10,12.76,15.51,18.38,21.39,24.58,27.98,31.65,35.64,40.02,44.82,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,46.35,43.03,40.10,37.52,35.25,33.24,31.44,29.83,28.38,27.08,25.89,24.82,23.85,22.96,22.16,21.42,20.75,20.13,19.57,19.05,18.58,18.14,17.73,17.36,17.01,16.68,16.38,16.09,15.82,15.56,15.31,15.07,14.83,14.60,14.38,14.15,13.93,13.70,13.48,13.24,13.01,12.77,12.52,12.27,12.01,11.74,11.46,11.18,10.88,10.57,10.25,9.93,9.59,9.24,8.88,8.51,8.13,7.74,7.34,6.93,6.51,6.08,5.65,5.20,4.75,4.30,3.84,3.37,2.90,2.42,1.94,1.46,0.97,0.49,0.00,
0.00,2.54,5.10,7.69,10.34,13.06,15.88,18.82,21.90,25.16,28.63,32.34,36.34,40.63,45.22,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,46.78,43.74,40.96,38.45,36.21,34.20,32.40,30.78,29.33,28.01,26.83,25.75,24.77,23.88,23.08,22.34,21.67,21.05,20.49,19.97,19.50,19.06,18.65,18.28,17.93,17.61,17.30,17.01,16.74,16.48,16.23,15.99,15.75,15.52,15.29,15.06,14.83,14.60,14.36,14.12,13.88,13.63,13.37,13.11,12.83,12.55,12.26,11.96,11.64,11.32,10.98,10.63,10.27,9.90,9.51,9.12,8.71,8.30,7.87,7.43,6.98,6.52,6.06,5.58,5.10,4.61,4.12,3.61,3.11,2.60,2.08,1.56,1.04,0.52,0.00,
0.00,2.58,5.18,7.82,10.51,13.28,16.13,19.11,22.23,25.53,29.03,32.75,36.73,40.96,45.41,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,47.04,44.19,41.55,39.13,36.94,34.96,33.18,31.58,30.14,28.84,27.66,26.59,25.62,24.74,23.93,23.20,22.54,21.93,21.37,20.86,20.39,19.96,19.56,19.19,18.85,18.52,18.22,17.94,17.67,17.41,17.16,16.91,16.68,16.44,16.21,15.98,15.74,15.51,15.27,15.02,14.77,14.51,14.24,13.97,13.68,13.38,13.08,12.76,12.43,12.08,11.73,11.36,10.97,10.58,10.17,9.75,9.32,8.87,8.42,7.95,7.47,6.98,6.48,5.98,5.46,4.94,4.40,3.87,3.33,2.78,2.23,1.67,1.12,0.56,0.00,
0.00,2.61,5.23,7.89,10.61,13.39,16.27,19.26,22.40,25.70,29.20,32.91,36.87,41.06,45.47,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,47.18,44.46,41.91,39.58,37.45,35.53,33.80,32.23,30.82,29.54,28.38,27.34,26.39,25.52,24.73,24.02,23.37,22.77,22.22,21.72,21.26,20.84,20.45,20.09,19.75,19.44,19.14,18.86,18.59,18.34,18.09,17.85,17.61,17.38,17.15,16.91,16.68,16.44,16.19,15.94,15.68,15.41,15.14,14.85,14.55,14.24,13.92,13.58,13.23,12.87,12.50,12.11,11.70,11.28,10.85,10.40,9.94,9.47,8.98,8.49,7.97,7.45,6.92,6.38,5.83,5.27,4.70,4.13,3.55,2.97,2.38,1.79,1.19,0.60,0.00,
